seed,model,stress_type,stress_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro_ovr,n_samples,mean_r_target,mean_observed_missing,mean_observed_implausibility,mean_reliability,std_reliability,corr_reliability_r_target,corr_reliability_missing,corr_reliability_implausibility,mae_reliability_target,f1_macro_ci95_low,f1_macro_ci95_high
123,RG-MF,corruption,0.5,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.9211833103155261,1488,0.8098118305206299,0.0031362008303403854,0.18862009048461914,0.5911048054695129,0.017427193000912666,0.9162099351200393,-0.28822313599124816,-0.8988477047937883,0.25580325722694397,0.5381009565793625,0.6162829109515501
123,RG-MF,corruption,0.75,0.6209677419354839,0.5625888913474263,0.6759551179536096,0.5781850126986893,0.8107257823481068,0.6209677419354839,0.6570286675201453,0.920947270175519,1488,0.7138217687606812,0.0013440860202535987,0.2855062484741211,0.5837088227272034,0.018952857702970505,0.883735954539216,-0.22595393484187082,-0.8744474523093512,0.20701223611831665,0.5381009565793625,0.6162829109515501
2025,ViT Image-Only,missing,0.0,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.9892976880073547,0.010702340863645077,0.005351170431822538,,,,,,,0.6078532405549837,0.6793004176792592
2025,ViT Image-Only,missing,0.25,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.7467111945152283,0.25328874588012695,0.12664437294006348,,,,,,,0.6078532405549837,0.6793004176792592
2025,ViT Image-Only,missing,0.5,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.5021181702613831,0.49788185954093933,0.24894092977046967,,,,,,,0.6078532405549837,0.6793004176792592
2025,ViT Image-Only,missing,0.75,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.2613155245780945,0.7386844754219055,0.36934223771095276,,,,,,,0.6078532405549837,0.6793004176792592
2025,ViT Image-Only,corruption,0.0,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.9892976880073547,0.010702340863645077,0.005351170431822538,,,,,,,0.6078532405549837,0.6793004176792592
2025,ViT Image-Only,corruption,0.25,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.8985507488250732,0.008249721489846706,0.0973244160413742,,,,,,,0.6078532405549837,0.6793004176792592
2025,ViT Image-Only,corruption,0.5,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.796655535697937,0.005797101650387049,0.20044595003128052,,,,,,,0.6078532405549837,0.6793004176792592
2025,ViT Image-Only,corruption,0.75,0.6287625418060201,0.6147472549666314,0.7486568959773098,0.6467009771060944,0.808078938758726,0.6287625418060201,0.6646187431057173,0.9402512564841531,1495,0.703567385673523,0.004013378173112869,0.2944258749485016,,,,,,,0.6078532405549837,0.6793004176792592
2025,Prior Fusion,missing,0.0,0.6107023411371237,0.5226893121611224,0.7438300589459441,0.577979070185186,0.8002963202957956,0.6107023411371237,0.6469944355071724,0.9174539423702619,1495,0.9892976880073547,0.010702340863645077,0.005351170431822538,,,,,,,0.5381729360220587,0.6164122187292758
2025,Prior Fusion,missing,0.25,0.6107023411371237,0.5226893121611224,0.7438300589459441,0.577979070185186,0.8002963202957956,0.6107023411371237,0.6469944355071724,0.9173620742976979,1495,0.7467111945152283,0.25328874588012695,0.12664437294006348,,,,,,,0.5381729360220587,0.6164122187292758
2025,Prior Fusion,missing,0.5,0.6107023411371237,0.5226893121611224,0.7438300589459441,0.577979070185186,0.8002963202957956,0.6107023411371237,0.6469944355071724,0.9172022667669426,1495,0.5021181702613831,0.49788185954093933,0.24894092977046967,,,,,,,0.5381729360220587,0.6164122187292758
