seed,gate_mode,stress_type,stress_rate,accuracy,f1_macro,mean_reliability,mean_r_target,corr_reliability_r_target
2025,plausibility_only,missing,0.25,0.6535117056856188,0.6621501343362193,0.5622180104255676,0.7467111945152283,0.8900910362038336
2025,plausibility_only,missing,0.5,0.6535117056856188,0.6621501343362193,0.5554342865943909,0.5021181702613831,0.8852279994349068
2025,plausibility_only,missing,0.75,0.6535117056856188,0.6621501343362193,0.5480391979217529,0.2613155245780945,0.9028425831574192
2025,plausibility_only,corruption,0.0,0.6535117056856188,0.6621501343362193,0.5689322352409363,0.9892976880073547,0.9883144597041948
2025,plausibility_only,corruption,0.25,0.6535117056856188,0.6621501343362193,0.5628110766410828,0.8985507488250732,0.9103889506634484
2025,plausibility_only,corruption,0.5,0.6535117056856188,0.6621501343362193,0.5556896328926086,0.796655535697937,0.9229158584286044
2025,plausibility_only,corruption,0.75,0.6528428093645485,0.6619444191460833,0.5491973161697388,0.703567385673523,0.9240277882644734
2025,no_gate,missing,0.0,0.6501672240802676,0.660839985648216,1.0,0.9892976880073547,
2025,no_gate,missing,0.25,0.6501672240802676,0.660839985648216,1.0,0.7467111945152283,
2025,no_gate,missing,0.5,0.6508361204013378,0.6611861347140036,1.0,0.5021181702613831,
2025,no_gate,missing,0.75,0.6508361204013378,0.6613280978457651,1.0,0.2613155245780945,
2025,no_gate,corruption,0.0,0.6501672240802676,0.660839985648216,1.0,0.9892976880073547,
2025,no_gate,corruption,0.25,0.6501672240802676,0.660839985648216,1.0,0.8985507488250732,
2025,no_gate,corruption,0.5,0.6508361204013378,0.6611861347140036,1.0,0.796655535697937,
2025,no_gate,corruption,0.75,0.6508361204013378,0.6611861347140036,1.0,0.703567385673523,
2025,static_mean,missing,0.0,0.6501672240802676,0.660839985648216,0.9892976880073547,0.9892976880073547,0.5187263725527513
2025,static_mean,missing,0.25,0.6528428093645485,0.6619444191460833,0.7467113137245178,0.7467111945152283,0.2750410636850437
2025,static_mean,missing,0.5,0.6535117056856188,0.6621501343362193,0.5021181702613831,0.5021181702613831,0.25748653376331515
2025,static_mean,missing,0.75,0.6541806020066889,0.6623821785992808,0.2613155245780945,0.2613155245780945,0.2715832468872465
2025,static_mean,corruption,0.0,0.6501672240802676,0.660839985648216,0.9892976880073547,0.9892976880073547,0.5187263725527513
2025,static_mean,corruption,0.25,0.651505016722408,0.6612515763114014,0.8985507488250732,0.8985507488250732,0.30049188471902505
2025,static_mean,corruption,0.5,0.651505016722408,0.6613917181237784,0.796655535697937,0.796655535697937,0.2569909614581613
2025,static_mean,corruption,0.75,0.6528428093645485,0.6619444191460833,0.7035674452781677,0.703567385673523,0.26867741919720933
